Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Tähtivaeltaja;4;;;2004;Baxter, Stephen;Epä-pimeydessä;In the Un-Black;2001;Jerrman, Toni;;;
Tähtivaeltaja;2;;;2029;Baxter, Stephen;Mars pysyy;Mars Abides;2016;Mäkelä, J. Pekka;;;
Tähtivaeltaja;4;;;1986;Bayley, Barrington J.;Hyvästi sitten veliseni;Farewell, Dear Brother;1964;Peltonen, Leena;;;
Tähtivaeltaja;1;;;1986;Bayley, Barrington J.;Laiva, joka purjehti avaruuden merta;The Ship that Sailed the Ocean of Space;1962;Markkula, Pekka;;;
Tähtivaeltaja;2;;;1987;Bester, Alfred;Hellät Fahrenheitit;Fondly Fahrenheit;1954;Drews, Kristiina;;;
Tähtivaeltaja;3;;;2013;Beukes, Lauren;Unathi ja mustat hiuspallot;Unathi Battles the Black Hairballs;2010;Silvonen, Sarianna;;;
Tähtivaeltaja;2;;;1995;Brite, Poppy Z.;Kuudes vartija;The Sixth Sentinel;1994;Kumpulainen, Minna;;;
Tähtivaeltaja;2;;;1989;Brunner, John;Viimeinen yksinäinen;The Last Lonely Man;1964;Nenonen, Kari;;;
Tähtivaeltaja;3;;;2011;Buckell, Tobias S.;Hyljätkää Babylon;Spurn Babylon;2000;Silvonen, Sarianna;;;
Tähtivaeltaja;3;;;1996;Card, Orson Scott;Mutta emme halua antaa sellaista kuvaa;But We Try Not To Act Like It;1990;Ronni, Tapani;;;
Tähtivaeltaja;2;;;2001;Carroll, Jonathan;Uupunut enkeli;Tired Angel;1990;Sinkkonen, Marja;;;
Tähtivaeltaja;4;;;2006;Chapman, Stepan;Claudette ja Metazooni;Claudette and the Metazoan;2004;Vainikainen-Uusitalo, Johanna;;;
Tähtivaeltaja;1;;;2005;Chapman, Stepan;Kun yöperhoset saapuivat;When the Moths Came Down;1997;Jerrman, Toni;;;
Tähtivaeltaja;2;;;2006;Chapman, Stepan;Moottoritytöt;A Legend of the Wheelgirls;1998;Jerrman, Toni;;;
Tähtivaeltaja;4;;;2006;Chapman, Stepan;Pluton rumahiset;The Ogres of Pluto;2004;Vainikainen-Uusitalo, Johanna;;;
Tähtivaeltaja;4;;;2006;Chapman, Stepan;Saksihirviön sikiöt;Spawn of the Claw Mutants;2004;Vainikainen-Uusitalo, Johanna;;;
Tähtivaeltaja;1;;;2005;Chapman, Stepan;Savivankila;The Prison of Sod;1997;Jerrman, Toni;;;
Tähtivaeltaja;3;;;2016;Cho, Zen;Seitsemän tähden rumpu;Seven Star Drum;2014;Mäkelä, J. Pekka;;;
Tähtivaeltaja;2;;;2018;Cixin, Liu;Ihmiselämä;;2015;Sainio, Rauno;;;
Tähtivaeltaja;3;;;1995;Collins, Nancy A.;Jortsut joka yö;Dancing Nitely;1991;Jerrman, Toni;;;
Tähtivaeltaja;4;;;1995;Constantine, Storm;Synnittä;Immaculate;1991;Sinkkonen, Marja;;;
Tähtivaeltaja;4;;;2011;Crosshill, Tom;Hei äiti, täällä me, poikasi Zenja;Mama, We Are Zhenya, Your Son;2011;Mäkelä, J. Pekka;;;
