Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Usva;1;;;2007;Mari Saario;Toiset elävät runonsa;;;;;;
Usva;3;;;2013;Mari Saario;Verisiskot;;;;;;
Usva;4;;;2009;Solja Saarto;Mestari Hoettenin oppipoika;;;;;;
Usva;2;;;2016;Timo Saarto;Kreetalla kerran;;;;;;
Usva;4;b;;2010;Petri Salin;Aikansa kutakin sanoi pässi kun päätä leikattiin;;;;;;
Usva;1;;;2007;Petri Salin;Exit only;;;;;;
Usva;1;;;2005;Petri Salin;Suuri kirjasto;;;;;;
Usva;2;;;2005;Petri Salin;Suuri kuulemisen tuoma vapautus;;;;;;
Usva;2;;;2005;Katja Salminen;Huuru;;;;;;
Usva;4;;;2008;Katja Salminen;Oksia, puita, kuolleitten luita;;;;;;
Usva;2;;;2010;Tuomas Saloranta;Aina voi tiivistää;;;;;;
Usva;4;;;2010;Tuomas Saloranta;Avaruusloinen;;;;;;
Usva;3;;;2010;Tuomas Saloranta;Joelta tullut;;;;;;
Usva;1;;;2012;Tuomas Saloranta;Joku sytytti kynttilän;;;;;;
Usva;3;;;2007;Tuomas Saloranta;Kesäkissa;;;;;;
Usva;1;;;2007;Tuomas Saloranta;Lihan lapset;;;;;;
Usva;2;;;2012;Tuomas Saloranta;Maailmanlopun puhelinmyyjät;;;;;;
Usva;4;b;;2010;Tuomas Saloranta;Merestä nousi pää;;;;;;
Usva;4;;;2010;Tuomas Saloranta;Nuori mies nimetön;;;;;;
Usva;1;;;2015;Tuomas Saloranta;Prinsessan kosinta;;;;;;
Usva;3;;;2008;Tuomas Saloranta;Vhalkiirin tytär;;;;;;
Usva;2;;;2013;Jaakko Markus Seppälä;Minuun kirjoitetaan;;;;;;
Usva;4;;;2012;Jaakko Markus Seppälä;Valiojoukko;;;;;;
Usva;3;;;2012;Henna Sinisalo;Opetusluuranko;;;;;;
Usva;3;;;2007;Tarja Sipiläinen;Kryptomaniaa;;;;;;
Usva;3;;;2010;Tarja Sipiläinen;Minne vain katsonkin;;;;;;
Usva;3;;;2010;Tarja Sipiläinen;Tähdenlento;;;;;;
Usva;4;;;2005;Tarja Sipiläinen;Täydellistä elämää;;;;;;
Usva;2;;;2012;Tarja Sipiläinen;Ärhäkkä ahven lavuaarissa;;;;;;
