Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Spin;1;;;2005;Anonyymi;TSFS:n hallitus vuodelle 2005;Fandom, TSFS;
Spin;3;;;2008;Anonyymi;Tule mukaan - fantastista fiktiota Turussa;Fandom, TSFS, Turun yliopiston tieteiskulttuurikabinetti, Tutka, Varjomafia, FUI;
Spin;3;;;2009;Anonyymi;Tule mukaan - fantastista fiktiota Turussa;Fandom, TSFS, Turun yliopiston tieteiskulttuurikabinetti, Tutka, Varjomafia, FUI;
Spin;3;;;2008;Karppanen, Pasi;Turun varjomafia - Lyhyt historia;Fandom, Varjomafia;
Spin;2;;;2008;Yanna & Auri & Saaros, Kirsi & Suntila, Shimo & Ykspetääjä, Kaisa;Tähtiallianssi in memoriam;Fandom, Star Wars, Tähtiallianssi;
Spin;3;3-4/2013;;2013;Karppanen, Pasi;Uusi uljas Terrakoti;Fandom, TSFS, Turun yliopiston tieteiskulttuurikabinetti, Tutka, FUI;
Spin;1;;;1986;Gustafsson, Jaana;Välijääkausi;Fandom, TSFS;
Spin;5;;;2000;Suntila, Shimo;Äksy;Fandom, Äksy, XY, Äreiden kaljupäiden skifistinen yhdistys, Skimo;
Spin;2;;;2001;Pohjola, Mike;Äksy - To Baldly Go;Fandom, Äksy, XY, Äreiden kaljupäiden skifistinen yhdistys;
Spin;3;;;1986;Peltonen, Leena;Fantasiakirjallisuus - mytologioiden uusiokäyttöä;Fantasia, mytologia;
Spin;1;;;2008;Männistö-Funk, Tiina;Fantasian salaiset agentit eivät jätä kiveäkään kääntämättä;Fantasia, kääntäminen;Bützow, Helene & Juva, Kersti & Kankaanpää, Jaakko & Rikman, Kristiina & Kapari-Jatta, Jaana
Spin;4;;;1982;Tuohino, Jukka;Fantasiat - toden ja tarun rajamailta;Fantasia;
Spin;4;;;2003;Soikkeli, M.G.;Lohikäärmeen varhaishistoriaa;Fantasia;
Spin;3;;;2014;Eronen, Sanna;Shakespearen keijukaisista haltijakeijuihin;Fantasia;
Spin;5;;;1999;Soikkeli, M.G.;Wood Wide Web - metsä fantasiassa;Fantasia;
Spin;4;;;1982;Mäentaka, Kari;Fantastinen Frazeta;Frank Frazetta, taide, kuvittaminen;
Spin;1;;;1983;Haarikko, Harri;Frank Kelly Freas;Frank Kelly Freas, taide, kuvittaminen;
Spin;4;;;2009;Tanner, Laura;Coraline x 3;;Gaiman, Neil
Spin;4;;;2000;Ahonen, Johanna;Mies, mielikuvitus ja myytit;;Gaiman, Neil
Spin;3;;;1990;Väisänen, Hannu;William Gibson, tietokoneverkot ja voodoo;;Gibson, William
Spin;4;;;2007;McMurtry, Leslie;Leslie McMurtryn haastattelussa kirjailija Simon Guerrier;;Guerrier, Simon
Spin;4;;;1989;Roimola, Ben;Benin peukaloruuvi;;Haarikko, Harri
Spin;1;;;2015;Mattila, Anna;Suomalaisen steampunkin tienraivaaja;;Hai, Magdalena
Spin;2;;;2009;Anonyymi;5 scifistä;;Halme, Jukka
Spin;2;;;2009;Paananen, Leila;Kauhuoopperaa avaruudessa;;Hamilton, Peter F.
Spin;3;;;2006;Tanner, Laura;Romansseja auringonlaskun jälkeen - Charlaine Harrisin valloittavat vampyyrit;kauhu, vampyyrit;Harris, Charlaine
Spin;3;3-4/2004;;2004;Suntila, Shimo;Harry Harrison;;Harrison, Harry
Spin;1;;;1981;Rajala, Hannu-Ilari;Heinlein itte;;Heinlein, Robert A.
Spin;1;;;1981;Kiiski, Markku;Robert A. Heinlein;;Heinlein, Robert A.
Spin;3;;;1994;Pajunen, Hannu;Petri Hiltunen lähikuvassa;Sarjakuvat, kuvittaminen;Hiltunen, Petri
Spin;4;;;1999;Kataisto, Vesa;Vesa Kataiston haastattelussa Petri Hiltunen;Sarjakuvat, kuvittaminen;Hiltunen, Petri
Spin;3;;;1988;Haarikko, Harri;Harrin peukaloruuvi;;Hinkkanen, Juhani
Spin;2;;;2008;Anonyymi;5 scifistä;;Hirsjärvi, Irma
Spin;1;;;2010;Anonyymi;Faniuden siirtymiä: suomalaisen science fiction -fandom;;Hirsjärvi, Irma
Spin;2;;;2009;Neuvonen, Sini & Mäkelä, Mervi;On helppoa olla Hobbin fani;;Hobb, Robin
Spin;2;;;2008;Anonyymi;5 scifistä;;Holopainen, Anu
Spin;4;;;2010;Tupasela, J. Robert;Nalo Hopkinson - Karibialta maailmankaikkeuteen;;Hopkinson, Nalo
Spin;1;;;1981;Mäentaka, Kari;Conanin taru;Fantasia, Conan;Howard, Robert E.
Spin;1;;;2008;Anonyymi;5 scifistä ;;Hurtta, Boris
Spin;4;;;2010;Leppälahti, Merja;Boris Hurtta palkittiin Kritiikin punnuksella;;Hurtta, Boris
Spin;3;;;1989;Haarikko, Harri;Harrin peukaloruuvi;;Hurtta, Boris
Spin;5;;;1994;Jalonen, Juha;Pahaa sutta ken pelkäisi?;kauhu, ihmissudet;
Spin;4;;;1998;Vainikainen, Jussi;SF-kirjallisuuslinkkejä www:ssä;internet;
Spin;5;;;1998;Vainikainen, Jussi;Suomalaiset sf-sivut;internet;
Spin;1;;;2013;Paananen, Leila;Fandom itävaltalaiseen tapaan - Haastattelussa Nina Horvath;Fandom, Itävalta;
Spin;2;;;1982;Jasinski, Richard P.;Samurai fiction - science fiction;science fiction, Japani;
Spin;2;;;2008;Anonyymi;5 scifistä;;Jerrman, Toni
Spin;1;;;1988;Haarikko, Harri;Harrin peukaloruuvi;;Jerrman, Toni
Spin;1;;;1984;Mäentaka, Kari;Jeffrey Jones;Taide, kuvittaminen;
Spin;1;;;2010;Jääskeläinen, Pasi Ilmari;Äiti, kaakao on liian kummaa!;;Jääskeläinen, Pasi Ilmari
