Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Alienisti;;;5;1992;Boris Hurtta;Metsän halki;;;;;;
Alienisti;;;25;2010;Boris Hurtta;Unien kultalassa;;;;runo;;
Alienisti;;;25;2010;Boris Hurtta;Uskopuutteessa;;;;runo;;
Alienisti;;;39;2019;Pirja Hyyryläinen;Kunniakierros;;;;;;
Alienisti;;;40;2019;Pirja Hyyryläinen;Paha saapuu salmen taa;;;;;;
Alienisti;;;25;2010;Tuukka Hämäläinen;Kultainen läpileikkaus;;;;runo;;
Alienisti;;;25;2010;Tuukka Hämäläinen;Matkalla teokratian herran temppeliin;;;;runo;;
Alienisti;;;25;2010;Tuukka Hämäläinen;Speach of Music;;;;runo;;
Alienisti;;;25;2010;Tuukka Hämäläinen;Stasis;;;;runo;;
Alienisti;;;25;2010;Tuukka Hämäläinen;Valeaika;;;;runo;;
Alienisti;;;26;2011;Emmi Itäranta;Shaman;;;;;;
Alienisti;;;16;2004;Jouni Jukkala;Pieni Joulutarina;;;;;;
Alienisti;;;26;2011;Tomi Jänkälä;Ei saa syödä pöydästä;;;;;;
Alienisti;;;23;2009;Tomi Jänkälä;Kuori;;;;;;
Alienisti;;;25;2010;Jooa Järventaus;Ajan lapset;;;;runo;;
Alienisti;;;25;2010;Jooa Järventaus;Hopealintu;;;;runo;;
Alienisti;;;25;2010;Jooa Järventaus;Linnununi;;;;runo;;
Alienisti;;;25;2010;Jooa Järventaus;Sudentaival;;;;runo;;
Alienisti;;;25;2010;Jooa Järventaus;Sudenuni;;;;runo;;
Alienisti;;;25;2010;Jooa Järventaus;Unilaulu;;;;runo;;
Alienisti;;;39;2019;Seppo Kallio;Autoilua kauniissa tuhansien järvien maassa;;;;;;
Alienisti;;;34;2015;Seppo Kallio;Karamelleja hiekalla;;;;;;
Alienisti;;;29;2012;Seppo Kallio;Keidas;;;;;;
Alienisti;;;39;2019;Seppo Kallio;Kissanpaskaa lasilla;;;;;;
Alienisti;;;39;2019;Seppo Kallio;Kostaja;;;;;;
Alienisti;;;40;2019;Seppo Kallio;Kromosomi Y;;;;;;
