Lehti;nro;Tekijä;Artikkeli;Aihe;Viitteet
Alienisti;27;Tapio Ranta-aho;Suomen tieteisfilmiteollisuuden kananlento 1947-1958;Sekalaista, STIFI;
Alienisti;22;Jonathan Clements;Synkkiä pilviä;Sekalaista, Anime;
Alienisti;14;Marko Ahonen;Uusi supersankari on syntynyt;Sekalaista;
Alienisti;28;Mari Tuukkanen;Vampyyritkin neulovat - Tai ainakin vampyyrifanit;Sekalaista, Käsityöt, Neulominen;
Alienisti;26;SidSid Keränen;Alienisti 20v.;Lehdet, Fandom, Jyväskylän Science Fiction Seura 42, Alienisti;
Alienisti;30;Antti Kiviranta;Huviretkiä tienpientareelle;Stalker;Arkadi Strugatski, Boris Strugatski
Alienisti;28;Minna Nevala;Haastattelussa Anne Tammelin;Vampyyrit;AnneTammelin
Alienisti;29;Anne Leinonen;Scifiä pilteille;Science fiction, scifi, sf, Televisio, TV, Lapset;
Alienisti;20;Marko Ahonen;Voi juma mitä scifi-paskaa!;Science fiction, scifi, Televisio, TV, TV-sarjat, Huonot;
Alienisti;30;Marko Ahonen;Tarinankerronnan tulevaisuus on peleissä;Science fiction, pelit, Pelikonsolit, Bioshock Infinite;
Alienisti;7;Lisa Tuttle;Why I am/am not a Horror Writer;;Lisa Tuttle
Alienisti;28;Marko Ahonen;Pelimaailman verenimijät;Vampyyrit, Pelit, Pelikonsolit;
Alienisti;28;SidSid Keränen;TV vastaan kirjasarja: True Blood vai Sookie Stackhouse?;Kauhu, Vampyyrit, Tv, Tv-sarjat, True Blood;Charlaine Harris
Alienisti;33;Risto Pohjonen;Vaarnat kuumiksi - Heteronormatiivinen katsaus lesbovampyyrielokuvagenreen. Osa 1: Vuodet 1932-1979;Kauhu, Kauhuelokuvat, Vampyyrit, Elokuvat;
Alienisti;28;Siiri Liitiä;Vampyyrimaniaa lakeuksilla - Tanz der Vampire;Vampyyrit, Teatteri, Musikaali, Vampyyrien tanssi;
Alienisti;28;Risto Pohjonen;Vampyyrit valkokankaalla - Bram Stokerin Draculan elokuvasovitukset 1922-2008;Kauhu, Kauhuelokuvat, Vampyyrit, Elokuvat, Dracula;Bram Stoker
Alienisti;34;Irma Hirsjärvi;Haastattelussa Helena Waris;Entropia;Helena Waris, Janne Nykänen
Alienisti;3;Marko Ahonen;Raskas keskisarjalainen - Ian Watson;;Ian Watson
