Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Aikakone;4;;;1991;Lishevski, V.;Viisi minuuttia Marsiin;Do Marsa pjat' minut';1990;Hiekkanen, Ossi;;;
Aikakone;2;Vol.2 No.2;;1983;Lundwall, Sam J.;Varjoja;Nobody Here but Us Shadows;1975;;;;
Aikakone;1;Vol.1 No.1;;1981;Niven, Larry;Aukkomies;The Hole Man;1973;Enqvist, Kari;;;
Aikakone;1;;;1993;Nourse, Alan E.;Kulku poikki päiväpuolen;Brightside Crossing;1956;Peltonen, Leena;;;
Aikakone;1;;;1988;Shaw, Bob;Kohtaaminen;Appointment on Prila;1968;Heiskanen, Jussi-Ville;;;
Aikakone;4;;;1989;Sheckley, Robert;Suojelija;Protection;1956;Markkula, Pekka;;;
Aikakone;2;;;1990;Shepard, Lucius;Mies, joka maalasi lohikäärme Griaulen;The Man Who Painted the Dragon Griaule;1984;Peltonen, Leena;;;
Aikakone;3;Vol.3 No.2;;1984;Silverberg, Robert;Onnellinen päivä vuonna 2381;A Happy Day in 2381;1970;Rekunen, Veikko;;;
Aikakone;1;;;1992;Simak, Clifford D.;Työmaakoppi;Construction Shack;1973;Peltonen, Leena;;;
Aikakone;3;;;1992;Simmons, Dan;Kaikki Draculan lapset;All Dracula's Children;1991;Ronni, Tapani;;;
Aikakone;4;;;1990;Smith, Cordwainer;Gustiblen planeetalta;From Gustible's Planet;1962;Peltonen, Leena;;;
Aikakone;3;;;1990;Smith, Cordwainer;Rotan ja lohikäärmeen peli;The Game of Rat and Dragon;1955;Ronni, Tapani;;;
Aikakone;3;;;1992;Spinrad, Norman;Ruttovuoden päiväkirjat;Journals of the Plague Years;1988;Bärman, Aki & Nyman, Jukka & Peltonen, Leena & Ronni, Tapani;;;
Aikakone;1;;;1988;Stableford, Brian;Teknologi ja teloittaja;The Engineer and the Executioner;1975;Ronni, Tapani;;;
Aikakone;4;Vol.4 No.4;;1985;Stapledon, Olaf;Mies, joka muuttui puuksi;The Man Who Became a Tree;1979;Rekunen, Veikko;;;
Aikakone;1;;;1987;Sturgeon, Theodore;Hidasta kuvanveistoa;Slow Sculpture;1970;Rekunen, Veikko;;;
Aikakone;3;Vol.4 No.3;;1985;Tšehov, Anton;Lentävät saaret;Letayushchie ostrova;1883;Taberman, Markku;;;
Aikakone;4;;;1992;Tuttle, Lisa;Vaimot;Wives;1977;Sinisalo, Johanna;;;
Aikakone;1;Vol.3 No.1;;1984;Varley, John;Elävä unelma;The Persistence of Vision;1978;Rekunen, Veikko;;;
Aikakone;1;;;1990;Varley, John;Marsin kuninkaiden salissa;In the Hall of the Martian Kings;1976;Ronni, Tapani;;;
Aikakone;2;;;1991;Watson, Ian;Aikaportin pettäessä;When the Timegate Failed;1985;Peltonen, Leena;;;
Aikakone;4;;;1988;Watson, Ian;Hyvin hidas aikakone;The Very Slow Time Machine;1978;Heiskanen, Jussi-Ville;;;
Aikakone;1;1-2/1994-95;;1995;Watson, Ian;Vitkalinnut;Slow Birds;1983;Sinkkonen, Marja;;;
Aikakone;3;;;1995;Weinbaum, Stanley G.;Hullu kuu;The Mad Moon;1935;Paarma, Susanna;;;
Aikakone;1;;;1991;Weinbaum, Stanley G.;Lootuksensyöjät;The Lotus Eaters;1935;Peltonen, Leena;;;
