Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Tähtivaeltaja;4;;;2012;Jerrman, Toni;Night Visions - Maximum Halloween 3012;Elokuvat;
Tähtivaeltaja;1;;;2014;Jerrman, Toni;Night Visions - Maximum Halloween 3013;Elokuvat;
Tähtivaeltaja;4;;;2014;Jerrman, Toni;Night Visions - Maximum Halloween 3014;Elokuvat;
Tähtivaeltaja;4;;;2016;Jerrman, Toni;Night Visions - Maximum Halloween 3016;Elokuvat;
Tähtivaeltaja;4;;;2017;Jerrman, Toni;Night Visions - Maximum Halloween 3017;Elokuvat;
Tähtivaeltaja;1;;;2019;Jerrman, Toni;Night Visions - Maximum Halloween 3018;Elokuvat;
Tähtivaeltaja;1;;;2020;Jerrman, Toni;Night Visions - Maximum Halloween 3019;Elokuvat;
Tähtivaeltaja;1;;;2002;Manninen, Pekka A.;Nuku hyvin, professori Oliver;Elokuvat;
Tähtivaeltaja;4;;;2011;Jerrman, Minna;Näyttävää robottitoimintaa Bollywoodista;Elokuvat;
Tähtivaeltaja;3;;;1995;Lehtinen, Lauri;Olipa kerran sotureita - Hong Kong -actionin alkuhämärä;Elokuvat;
Tähtivaeltaja;4;;;1995;Jerrman, Toni;Orgy of the Dead;Elokuvat;
Tähtivaeltaja;4;;;2008;Jerrman, Toni;Pascal Laugier ja Marttyyrit;Elokuvat;
Tähtivaeltaja;3;;;2000;Manninen, Pekka A.;Planeternas krig - War in Space;Elokuvat;
Tähtivaeltaja;2;;;1995;Jerrman, Toni;Princess Warrior;Elokuvat;
Tähtivaeltaja;1;;;1992;Hänninen, Harto;Radioaktiiviset avaruuskommunistit tulevat!;Elokuvat;
Tähtivaeltaja;1;;;1992;Hiltunen, Petri;Rajatonta voimaa ja armotonta menoa - 80-luvun toimintascifi-elokuvat;Elokuvat;
Tähtivaeltaja;3;;;2000;Jerrman, Toni;Rakkautta ja anarkiaa 2000;Elokuvat;
Tähtivaeltaja;4;;;2001;Jerrman, Toni;Rakkautta ja anarkiaa 2001 - Aasian mitalla;Elokuvat;
