Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Finnzine;4;;;1995;Soikkeli, M.G.;Kymmenes Portti-palkinto Jyväskylään;Palkinnot, kilpailut;Jääskeläinen, Pasi
Finnzine;4;;;2000;Sirkiä, Pekka;Markku Soikkelille voitto Portin novellikilpailussa;Palkinnot, kilpailut;Soikkeli, M.G.
Finnzine;4;;;1997;Soikkeli, M.G.;Onko Portti-palkinto kapea vai lavea;Palkinnot, kilpailut;
Finnzine;4;;;2002;Sirkiä, Pekka;Portin novellikilpailu;Palkinnot, kilpailut;
Finnzine;4;;;2005;Sirkiä, Pekka;Portin novellikilpailu 2005;Palkinnot, kilpailut;
Finnzine;4;;;1999;Heino, Aarre;Portin novellikilpailun palkintojenjaossa 10.12.1999;Palkinnot, kilpailut;
Finnzine;4;;;1998;Sirkiä, Pekka;Portti suoltaa uusia kykyjä;Palkinnot, kilpailut;
Finnzine;4;;;1993;Sirkiä, Pekka;Salaperäinen nimimerkki kahmaisi ykköspalkinnon;Palkinnot, kilpailut;
Finnzine;4;;;2001;Soikkeli, M.G.;Scifinovellien noobeli Tampereelle;Palkinnot, kilpailut;
Finnzine;1;;;2004;Leinonen, Anne;Sielulinnut lensivät voittoon - Nova 2003;Palkinnot, kilpailut;
Finnzine;4;;;2007;Soikkeli, M.G.;Sota ruletti Portti-kisassa;Palkinnot, kilpailut;
Finnzine;4;;;1999;Salin, Petri;Tota kuinka nääs voitin ton meinaan Portin nääs novellikilpailun;Palkinnot, kilpailut;
Finnzine;2;;;2001;Anonyymi;Tähtivaeltaja-palkinto;Palkinnot, kilpailut;
Finnzine;3;;;2003;Sirkiä, Pekka;Tähtivaeltaja-palkinto Ray Lorigan romaanille;Palkinnot, kilpailut;Loriga, Ray
Finnzine;4;;;2002;Soikkeli, M.G.;Uutta ja perinteistä Portti-kisassa;Palkinnot, kilpailut;
Finnzine;2;;;1993;Sirkiä, Pekka;"""Älkää muuttako sääntöjä""";Palkinnot, kilpailut, Tähtivaeltaja-palkinto;
Finnzine;1;;;1994;Supinen, Pekka;Eila Pennanen oli myös scifin ystävä;;Pennanen, Eila
Finnzine;4;;;1994;Supinen, Pekka;E.A. Poe oli scifi-kirjoittaja sata vuotta ennen kuin scifi oli vielä keksittykään!;;Poe, Edgar Allan
Finnzine;4;;;2007;Salin, Petri;Exit Poe - Erään valitettavan kuolemantapauksen anatomia;;Poe, Edgar Allan
Finnzine;1;;;1993;Supinen, Pekka;Poen ja kääntäjän kertomuksia;;Poe, Edgar Allan & Haarikko, Harri
Finnzine;3;;;1993;Hämäläinen, Timo-Jussi;Terry Pratchettin salat;;Pratchett, Terry
Finnzine;3;;;1996;Supinen, Pekka;Oxfordista tulee tarinankertojia, hitto vie;;Pullman, Philip
Finnzine;4;;;1994;Ronni, Tapani;Science fiction Puolassa;Puola, Science fiction;
Finnzine;3;;;1992;Halme, Jukka;Radio-ohjelma? Timewarp. Mundane-radio?;Radio, kuunnelmat;
Finnzine;1;;;2000;Salin, Petri;Radioteatteria;Radio, kuunnelmat;
Finnzine;2;;;2006;Oikarinen, Antti;Matthew Reilly - teknoseikkailuja kengurumaasta;;Reilly, Matthew
Finnzine;3;;;2002;Oikarinen, Antti;Alastair Reynolds panee avaruusoopperan soimaan;;Reynolds, Alastair
Finnzine;4;;;2002;Oikarinen, Antti;Alastair Reynoldsin haastattelu;;Reynolds, Alastair
Finnzine;2;;;1998;Lehtinen, Vesa;Harmaan kivenkovaa scifiä punaisella planeetalla;;Robinson, Kim Stanley
Finnzine;4;;;1994;Ronni, Tapani;Silviu Genescu puhuu;Romania, Science fiction;
Finnzine;3;;;2002;Leinonen, Anne;Camelotin pimeä aikakausi;Roolipelit;
Finnzine;3;;;1995;Supinen, Pekka;Pyykkö pyydysti keskiajan henkeä;Roolipelit;
Finnzine;3;;;1995;Soikkeli, M.G.;Virtuaalisesti tatuoidut mielet;;Rosenblum, Mary
