creator_str,title,misc,imported_string
"Doyle, Sir Arthur Conan","Cloomber Hallin salaisuus",".ennos Pohjalaiselle.","

<b>Cloomber Hallin salaisuus</b>. (The Mystery of Cloomber, 1895). Suomennos Pohjalaiselle. Pohjalainen 1900. [F]."
"Doyle, Sir Arthur Conan","Hämärätarinoita",".  Kirja","

<b>Hämärätarinoita</b>. (Tales of Twilight and the Unseen, 1922). Suom Väinö 
Nyman. A. Conan Doylen kootut teokset 4. Kirja 1926. [K,kok]."
"Doyle, Sir Arthur Conan","Kun Maa kirkui ja muita epätavallisia tarinoita","Toim Juhani Hinkkanen.,  ja","

<a href=""novkok/doy-km.htm"">
<b>Kun Maa kirkui ja muita epätavallisia tarinoita</b></a>. Toim Juhani 
Hinkkanen. Suom Sari Kallioinen, Anita Puumalainen ja Veikko Rekunen. FAN-sarja. WSOY 1992. [K,kok]."
"Doyle, Sir Arthur Conan","Pelko- ja kauhutarinoita",".  Kirja","

<b>Pelko- ja kauhutarinoita</b>. (Tales of Terror and Mystery, 1922). Suom Väinö 
Nyman. A. Conan Doylen kootut kertomukset 3. Kirja 1925. [F,kok 4/13]."
"Du Maurier, Daphne","Tapahtui eräänä päivänä",".  Runot suom Aale Tynni & Panu Pekkanen.","

<b>Tapahtui eräänä päivänä</b>. (Rule Britannia, 1972). Suom Kristiina 
Kivivuori. Runot suom Aale Tynni & Panu Pekkanen. WSOY 1975. [PF,SF]."
"Untinen-Auel, Jean M(arie)","Luolien suojatit",". ja","

<b>Luolien suojatit</b>. (The Shelters of Stone, 2002). Suom Ulla Selkälä ja 
Ilkka Äärelä. Maan lapset -sarja 5. WSOY 2002. [Paleof]."
"Vance, Jack (/John Holbrook)","Ihmisen paluu","Toim Markku Sadelehto..","

<a href=""novkok/van-ip.htm"">
<b>Ihmisen paluu</b></a>. Toim Markku Sadelehto. Suom Matti Rosvall. Portti-kirjat 3. Tampereen Science Fiction Seura 1999. [SF,kok]."
"Verne, Jules (Gabriel)",Hiilikaivoksessa,".  O.","

<b>Hiilikaivoksessa</b>. (Les Indes noires, 1877). Suom Wilhelm Nordlund. O. Palander 1882. [eiSF]."
"Verne, Jules (Gabriel)","Ilmojen valloittaja",".  Jules Vernen romaanit 3.","

<b>Ilmojen valloittaja</b>. (Robur-le-conquerant, 1886). Suom Werner Anttila. Jules Vernen romaanit 3. Kariston nuorisonkirjoja 32. Karisto 1922. [SF]."
"Verne, Jules (Gabriel)","Karpaattien linna",".  (Sisältää myös: Verne, Michel. 29.vuosisadalla. Amerikkalaisen lehtimiehen päivä vuonna (Au XXIX siecle - la journee d'un journaliste americain en , 1889)). 1978.","

<b>Karpaattien linna</b>. (Le chateau des Carpathes, 1892). Suom Pentti Kähkönen. (Sisältää myös: Verne, Michel. 29.vuosisadalla. Amerikkalaisen 
lehtimiehen päivä vuonna 2889. (Au XXIX siecle - la journee d'un journaliste americain en 2889, 1889)). Sci-fi -sarja. WSOY 1978. [SF,rajatap]."
"Verne, Jules (Gabriel)","Kiinalaisen koettelemukset",". (Les tribulations d'un Chinois en Chine, )  1975.","

<b>Kiinalaisen koettelemukset</b>. (Les tribulations d'un Chinois en Chine, 1879) Suom Pentti Kähkönen. Sci-fi -sarja. WSOY 1975. [SF,rajatap]."
"Verne, Jules (Gabriel)","Kuun ympäri",".  Jules Vernen romaanit 18.","

<b>Kuun ympäri</b>. (Autour de la lune, 1870). Suom Valfrid Hedman. Jules Vernen romaanit 18. Kariston nuorisonkirjoja 88. Karisto 1929. [SF]."
"Verne, Jules (Gabriel)","Maailman herra",". (Sis. myös novellin &quot;Ikuinen Aatami&quot; (L'eternel Adam, ).  1987.","

<b>Maailman herra</b>. (Maître du Monde, 1904). (Sis. myös novellin &quot;Ikuinen Aatami&quot; (L'eternel Adam, 1910). Suom Pentti Kähkönen. Sci-fi -sarja. WSOY 1987. [SF]."
"Verne, Jules (Gabriel)","Maasta kuuhun",". Matkustus 97:ssä tunnissa.","

<b>Maasta kuuhun</b>. Matkustus 97:ssä tunnissa. (De la terre à la lune, 1865). Suom P.J. Hannikainen. G.W. Edlund 1904. [SF]."
"Verne, Jules (Gabriel)","Merkilliset matkat 1-2",". Osa 1: Höyrytalo, Kiinalaisen koettelemukset & Robur Valloittaja. Osa 2: Etelän tähti, Jangada & Matka maan keskipisteeseen.","

<b>Merkilliset matkat 1-2</b>. Osa 1: Höyrytalo, Kiinalaisen koettelemukset & Robur Valloittaja. Osa 2: Etelän tähti, Jangada & Matka maan keskipisteeseen. WSOY 1987."
"Verne, Jules (Gabriel)","Salaperäinen saari",".  Ilmestyi 7 vihkona.","

<b>Salaperäinen saari</b>. (L'ile mysterieuse 1-3, 1874-75). Lyhentäen suom Samuli Suomalainen. Ilmestyi 7 vihkona. Otava 1904. [SF]."
"Verne, Jules (Gabriel)","Haaksirikkoiset ilmapurjehtijat","<ul> <li> 1:","
<ul>
<li>    1: <b>Haaksirikkoiset ilmapurjehtijat</b>."
"Verne, Jules (Gabriel)","Saareen heitetty","<li> 2:","
<li>    2: <b>Saareen heitetty</b>."
"Verne, Jules (Gabriel)","Saaren salaisuus","<li> 4:","
<li>    4: <b>Saaren salaisuus</b>."
"Verne, Jules (Gabriel)","Kaksi vuotta saarella","<li> 3:","
<li>    3: <b>Kaksi vuotta saarella</b>."
"Verne, Jules (Gabriel)","Merten alitse","<ul> <li>1:  Jules Vernen romaanit 7.","
<ul>
<li>1: <b>Merten alitse</b>. Suom Väinö Hämeen-Anttila. Jules Vernen romaanit 7. Kariston nuorisonkirjoja 44."
"Verne, Jules (Gabriel)","Kapteeni Nemo",<li>2:,"
<li>2: <b>Kapteeni Nemo</b>."
"Verne, Jules (Gabriel)","Meren alitse","<ul> <li>1:","
<ul>
<li>1: <b>Meren alitse</b>."
"Verne, Jules (Gabriel)",Nautilus,<li>3:,"
<li>3: <b>Nautilus</b>."
"Verrill, A(lpheus) Hyatt",Radiosalapoliisit,".  Taru","
<b>Radiosalapoliisit</b>. (The Radio Detectives, 1922). Suom A. Husso. Taru 1924. [F,rajatap]."
"Verrill, A(lpheus) Hyatt","Radiosalapoliisit kuoleman kynnyksellä",".  Taru","

<b>Radiosalapoliisit kuoleman kynnyksellä</b>. (The Radio Detectives Southward Bound, 1922). Suom J. Guseff. Taru 1924. [F,rajatap]."
"Verrill, A(lpheus) Hyatt","Radiosalapoliisit meren alla",". Taru","

<b>Radiosalapoliisit meren alla</b>. (The Radio Detectives Under the Sea, 1922). Taru 1924. [F,rajatap]."
"Verrill, A(lpheus) Hyatt","Radiosalapoliisit viidakossa",".  Taru","

<b>Radiosalapoliisit viidakossa</b>. (The Radio Detectives in the Jungle, 1922). Suom Aune Lindström. Taru 1925. [F,rajatap]."
