creator_str,title,misc,imported_string
"Sanderson, Brandon","Ajan sankari</b>. Usvasyntyinen 3. (The Hero of Ages (Mistborn 3), 2008). Suom Mika Kivimäki. Jalava 2018. [F]. <b>Viimeinen valtakunta</b>. Usvasyntyinen 1. (The Final Empire (Mistborn 1), 2006). Suom Mika Kivimäki. Jalava 2017. [F]. <b>Ylenemisen kaivo",". (The Well of Ascension (Mistborn 2), ).  2018.","
<b>Ajan sankari</b>. Usvasyntyinen 3. (The Hero of Ages (Mistborn 3), 2008). Suom Mika Kivimäki. Jalava 2018. [F].

<b>Viimeinen valtakunta</b>. Usvasyntyinen 1. (The Final Empire (Mistborn 1), 2006). Suom Mika Kivimäki. Jalava 2017. [F].

<b>Ylenemisen kaivo</b>. Usvasyntyinen 2. (The Well of Ascension (Mistborn 2), 2007). Suom Mika Kivimäki. Jalava 2018. [F]."
"Schildt, (Ernst) Runar",Hirsipuumies,"Näytelmä. . Näytelmä.","

<b>Hirsipuumies</b>. Näytelmä. (Galgmannen, 1922). Suom Ilmari Ahma. Gummerus 1923. [F]."
"Scott, Michael",Kirjanvartija,"(Irlanti, -) (The Alchemyst, 2007).  2008."," (Irlanti, 1959-)
<b>Kirjanvartija</b>. Kuolemattoman Nicholas Flamelin salaisuudet 1. (The Alchemyst, 2007). Suom Paula Korhonen. WSOY 2008. [nF]."
"Setälä, Annikki",Pikkunoita,". Kuvittanut Maija Karma.","
<b>Pikkunoita</b>. Kuvittanut Maija Karma. Lasten toivekirjasto 24. WSOY 1959. [nF]."
"Shaw, George Bernard","Ihminen ja yliihminen","Näytelmä. . Näytelmä.","
<b>Ihminen ja yliihminen</b>. (Man and Superman, 1903). Näytelmä. Suom Aino Malmberg. Otava 1906. [F]."
"Shepard, Lucius",Kultainen,". &","

<b>Kultainen</b>. (The Golden, 1993). Suom Ulla Selkälä & Ilkka Äärelä. FAN-sarja. WSOY 1994. [K]."
"Simmons, Dan",Endymion,".  Runojen suom Jaakko Tuomikoski ja Pekka Pakkala.","
<b>Endymion</b>. (Endymion, 1995). Suom Juha Ahokas. Runojen suom Jaakko Tuomikoski ja Pekka Pakkala. Like Scifi -sarja. Like 1999. [SF]."
"Simmons, Dan","Hyperionin tuho",".  Runojen suom Pekka Pakkala ja Aale Tynni.","

<b>Hyperionin tuho</b>. (The Fall of Hyperion, 1990). Suom Juha Ahokas. Runojen suom Pekka Pakkala ja Aale Tynni. Like Scifi -sarja. Like 1998. [SF]."
"Simukka, Salla",Sisarla,". Seikkailu toisessa maailmassa.","

<b>Sisarla</b>. Seikkailu toisessa maailmassa. Tammi 2016. [nF]."
"Sinisalo, Aila Johanna","Renaten tarina",". Iron Sky.","

<b>Renaten tarina</b>. Iron Sky. Johnny Kniga 2018. [SF]."
"Smith, Clark Ashton","Viimeinen hieroglyfi",&,"
<a href=""novkok/smi-vh.htm"">
<b>Viimeinen hieroglyfi</b></a>. Toim Markku Sadelehto. Suom Ulla Selkälä & Ilkka Äärelä. FAN-sarja. WSOY 1994. [F,kok]."
"Somersalo, Aili (vuoteen 1906 Sommer","Mestaritontun seikkailut",". 1. painos julkaistiin nimellä Aili Tarvas. Kuvitus Hilkka Finne.","
<b>Mestaritontun seikkailut</b>.  1. painos julkaistiin nimellä Aili Tarvas. Kuvitus Hilkka Finne. WSOY 1919. [nF]."
"St. John, Lauren","Delfiinien laulu",". Kuvittanut David Dean.","
<b>Delfiinien laulu</b>. (Dolphin song, 2007). Kuvittanut David Dean. Suom Kira Poutanen. Nemo 2008. [nF]."
"St. John, Lauren","Elefantin tarina",". Kuvittanut David Dean.","

<b>Elefantin tarina</b>. (The Elephant's Tale, 2009). Kuvittanut David Dean. Suom Kira Poutanen. Nemo 2011. [nF]."
"St. John, Lauren","Valkoinen kirahvi",". Kuvittanut David Dean.","

<b>Valkoinen kirahvi</b>. (The White Giraffe, 2006). Kuvittanut David Dean. Suom Kira Poutanen. Nemo 2007. [nF]."
"St. John, Lauren","Viimeinen leopardi",". Kuvittanut David Dean.","

<b>Viimeinen leopardi</b>. (The Last Leopard, 2008). Kuvittanut David Dean. Suom Kira Poutanen. Nemo 2010. [nF]."
"Stapledon, (William) Olaf","Viimeiset ja ensimmäiset",".ja esipuhe Olavi Markkanen.","
<b>Viimeiset ja ensimmäiset</b>. (Last and First Men, 1930). Suom ja esipuhe Olavi Markkanen. Ursan sf-sarja 6. Ursa 1985. [SF]."
"Star Wars","Star Wars: The Clone Wars",". Sovittanut Tracey West.","
<b>Star Wars: The Clone Wars</b>. (Star Wars: The Clone Wars, 2008). Sovittanut Tracey West. Suom Tommi Järvinen. WSOY 2009. [nSF]."
"Sterling, Bruce",Taistelija,". &","

<b>Taistelija</b>. (The Artificial Kid, 1980). Suom Sari Kallioinen & Anita Puumalainen. FAN-sarja. WSOY 1993. [SF]."
"Stoker, Bram (/Abraham)","Draculan vieras","ja muita kauhukertomuksia.","
<a href=""novkok/sto-dv.htm"">
<b>Draculan vieras</b></a> ja muita kauhukertomuksia. (Dracula's Guest and Other Weird Stories, 1914). Suom Inkeri Koskinen. Tammi 2012. [K,kok]."
"Stoker, Bram (/Abraham)","Kammoittava kreivi","Lyhennetty suomennos. .  Lyhennetty suomennos.","

<b>Kammoittava kreivi</b>. (Dracula, 1897). Suom Risto Kalliomaa. Lyhennetty suomennos. Nide Oy 1952. [K]."
"Strasser, Tod","Super Mario Bros. - Putkimiehet supersankareina",". Perustuu Parker Bennetin, Terry Runtén ja Ed Solomonin elokuvakäsikirjoitukseen.","
<b>Super Mario Bros. - Putkimiehet supersankareina</b>. (Super Mario Bros., 1993). Perustuu Parker Bennetin, Terry Runtén ja Ed Solomonin elokuvakäsikirjoitukseen. Suom Hannele Pietikäinen. Otava 1995. [nSF]."
"Strindberg, August","Onnellisten saari","De lycksaliges ö . (De lycksaliges ö () - kokoelmasta &quot;Svenska öden och äventyr&quot;, 1882-1891).  1912.","
<b>Onnellisten saari</b>. (De lycksaliges ö (1884) - kokoelmasta &quot;Svenska öden och äventyr&quot;, 1882-1891). Suom Ilmari Ahma. Otavan 50 pennin kirjasto 21. Otava 1912. [F]."
"Strugatski, Arkadi & Strugatski, Boris","Poika helvetistä","(Popytka k begtsvu (), Paren iz preispodnei (1974)).  1986.","

<a href=""novkok/str-ph.htm"">
<b>Poika helvetistä</b></a>. (Popytka k begtsvu (1962), Paren iz preispodnei (1974)). Suom Esa Adrian. Sci-fi -sarja. WSOY 1986. [SF]."
"Sue, Eugene","Kuljeksiva juutalainen eli Jerusalemin suutari",".  1-4 osaa (ilmestyi arkittain).  (1-2) - 1896 (3-4).","
<b>Kuljeksiva juutalainen eli Jerusalemin suutari</b>. (Le juif errant, 1844-45). Suom Johan Arvid Saivo. 1-4 osaa (ilmestyi arkittain). J.W. Pihl 1895 (1-2) - 1896 (3-4). [F]."
"Suntila, Shimo (toim.)",Sillanrakentaja,"Anne Leinonen -juhlakirja.","
<a href=""novkok/sun-sr.htm"">
<b>Sillanrakentaja</b></a>. Anne Leinonen -juhlakirja. Kuoriaiskirjat 6. Kuoriaiskirjat 2013. [SF,kok]."
"Suntila, Shimo (toim.)","Teräskoura ja muita sivuja Stepanin koodeksista",16.,"

<a href=""novkok/sun-tk.htm"">
<b>Teräskoura ja muita sivuja Stepanin koodeksista</b></a>. Kuoriaiskirjat 20. Kuoriaiskirjat 2016. [K,kok]."
"Suomela, Toivi","Viimeinen näytös","Kolminäytöksinen näytelmä. . Kolminäytöksinen näytelmä.","
<b>Viimeinen näytös</b>. Kolminäytöksinen näytelmä. Seuranäytelmiä 501. Karisto 1948. [SF]."
"Sutcliff, Rosemary","Arthur-kuninkaan tarinoita",".  12. WSOY","
<b>Arthur-kuninkaan tarinoita</b>. (The Sword and the Circle, 1979, The Light Beyond the Forest, 1979 & The Road to Camlann, 1981). Suom Ritva-Liisa Pilhjerta. Suuri lukukirjasto 12. WSOY 1985. [F]."
"Sutherland, Tui T. & Rudnick, Elizabeth","Pirates of the Caribbean: Maailmanlaidalla",". Perustuu Ted Elliottin ja Terry Rossion elokuvakäsikirjoitukseen..","
<b>Pirates of the Caribbean: Maailmanlaidalla</b>. (Pirates of the Caribbean: At World's End, 2007). Perustuu Ted Elliottin ja Terry Rossion elokuvakäsikirjoitukseen. Suom Marja Helanen-Ahtola. Sanoma Magazines Finland Oy 2007. [F]."
"Swift, Jonathan","Gulliverin matkustukset tuntemattomissa maissa",I-II.,"
<b>Gulliverin matkustukset tuntemattomissa maissa</b>, I-II. (Travels into Several Remote Nations of the World by Lemuel Gulliver, 1726). Ruotsista suom P. Wäyrynen. G.W. Edlund 1876. [F]."
"Taiga, Marton","Osiriksen sormus",". Kaksi aikamatkakertomusta (sis. tarinat ""Viiden minuutin ikuisuus"" () ja ""Osiriksen sormus"" (1934)). M-kirjat 23. 2011.","

<b>Osiriksen sormus</b>. Kaksi aikamatkakertomusta (sis. tarinat ""Viiden minuutin ikuisuus"" (1936) ja ""Osiriksen sormus"" (1934)). Toim Juri Nummelin. M-kirjat 23. Turbator 2011. [F]."
"Tallqvist, Katja","Maa 2",". BoD -","
<b>Maa 2</b>. BoD - Books on Demand 2017. [SF]."
"Tem, Melanie","Petojen suku",". &","
<b>Petojen suku</b>. (The Wilding, 1992). Suom Ulla Selkälä & Ilkka Äärelä. FAN-sarja. WSOY 1994. [K]."
"Tevis, Walter S(tone)","Yhdeksäs aste",".  Runot suom Aale Tynni.","
<b>Yhdeksäs aste</b>. (Mockingbird, 1980). Suom Pirkko Talvio-Jaatinen. Runot suom Aale Tynni. Tammi 1981. [SF]."
"Thomas, Martin","Kauhujen talo",". :.","
<b>Kauhujen talo</b>. (Bred to Kill, 1960). Sexton Blake -sarja 8:1962. Kolmiokirja 1962. [SF]."
"Tine, Robert","Ikuisesti nuori","Perustuu Jeffrey Abramsin elokuvakäsikirjoitukseen. . Perustuu Jeffrey Abramsin elokuvakäsikirjoitukseen.","
<b>Ikuisesti nuori</b>. (Forever Young, 1992). Perustuu Jeffrey Abramsin elokuvakäsikirjoitukseen. Suom Petri Tapola. Karisto 1993. [SF]."
"Tolkien, J(ohn) R(onald) R(euel)","Gondolinin tuho",". Kuvittanut Alan Lee.","

<b>Gondolinin tuho</b>. (The Fall of Gondolin, 2018). Toim Christopher Tolkien. Kuvittanut Alan Lee. Suom Jaakko Kankaanpää ja Kersti Juva. WSOY 2019. [F]."
"Tolkien, J(ohn) R(onald) R(euel)","Húrinin lasten tarina",".  Runot suomentaneet Alice Martin ja Panu Pekkanen.","

<b>Húrinin lasten tarina</b>. (The Children of Húrin, 2007). 
Suom Kersti Juva. Runot suomentaneet Alice Martin ja Panu Pekkanen. WSOY 2007. [F]."
"Tolkien, J(ohn) R(onald) R(euel)","Keskeneräisten tarujen kirja",".  Runot suom Panu Pekkanen.","

<b>Keskeneräisten tarujen kirja</b>. (Unfinished Tales, 1980). Toim Christopher Tolkien. Suom Kersti Juva. Runot suom Panu Pekkanen. WSOY 1986. [F]."
"Tolkien, J(ohn) R(onald) R(euel)","Lohikäärmevuori eli erään hoppelin matka sinne ja takaisin",".  Kuvitus Tove Jansson.","

<b>Lohikäärmevuori eli erään hoppelin matka sinne ja takaisin</b>. (The Hobbit, or There and Back Again, 1937). Suom Risto Pitkänen. Kuvitus Tove Jansson. Tammi 1973. [nF]."
"Tolkien, J(ohn) R(onald) R(euel)","Satujen valtakunta",". Sisältää teokset: Roverandom; Maamies ja lohikäärme; Seppä ja ; Niukun lehti; Saduista.  Runosäkeet suomentaneet Johanna Vainikainen-Uusitalo ja Alice Martin.","

<b>Satujen valtakunta</b>. (Tales from the Perilous Realm, 1997/2008). Sisältää teokset: Roverandom; Maamies ja lohikäärme; Seppä ja Satumaa; Niukun lehti; Saduista. Suom Kersti Juva, Panu Pekkanen ja Vesa Sisättö. Runosäkeet suomentaneet Johanna Vainikainen-Uusitalo ja Alice Martin. WSOY 2010. [F]."
"Tolkien, J(ohn) R(onald) R(euel)",Silmarillion,".  Säkeet suom Panu Pekkanen.","

<b>Silmarillion</b>. (The Silmarillion, 1977). Toim Christopher Tolkien. Suom Kersti Juva. Säkeet suom Panu Pekkanen. WSOY 1979. [F]."
"Tolkien, J(ohn) R(onald) R(euel)","Taru sormusten herrasta",1-3:,"

<b>Taru sormusten herrasta</b>, 1-3:"
"Tolkien, J(ohn) R(onald) R(euel)","Sormuksen ritarit","1: Vuoden   Runot suom Panu Pekkanen. 1973.","

1: <b>Sormuksen ritarit</b>. (The Fellowship of the Ring, 1954). Vuoden 1966 laitoksesta suom Kersti Juva ja Eila Pennanen. Runot suom Panu Pekkanen. WSOY 1973. [F]."
"Tolkien, J(ohn) R(onald) R(euel)","Kaksi tornia","2: Vuoden   Runot suom Panu Pekkanen. 1974.","

2: <b>Kaksi tornia</b>. (The Two Towers, 1954). Vuoden 1966 laitoksesta suom Kersti Juva ja Eila Pennanen. Runot suom Panu Pekkanen. WSOY 1974. [F]."
"Tolkien, J(ohn) R(onald) R(euel)","Kuninkaan paluu","3: Vuoden   Runot suom Panu Pekkanen. 1975.","

3: <b>Kuninkaan paluu</b>. (The Return of the King, 1955). Vuoden 1966 laitoksesta suom Kersti Juva. Runot suom Panu Pekkanen. WSOY 1975. [F]."
"Tolkien, J(ohn) R(onald) R(euel)","Taru sormusten herrasta",". (The Fellowship of the Ring, , The Two Towers,  & The Return of the King, 1955). Korjattu ja tarkastettu suomennos. 1985.","

<b>Taru sormusten herrasta</b>. (Kokoomateos). (The Fellowship of the Ring, 1954, The Two Towers, 1954 & The Return of the King, 1955). Korjattu ja tarkastettu suomennos. Lukemisen pikkujättiläiset -sarja. WSOY 1985. [F]."
"Tolonen, Tuutikki","Mörköreitti",". Kuvitus Pasi Pitkänen.","
<b>Mörköreitti</b>. Kuvitus Pasi Pitkänen. Tammi 2016. [nF]."
"Tolonen, Tuutikki","Mörkövahti",". Kuvitus Pasi Pitkänen.","

<b>Mörkövahti</b>. Kuvitus Pasi Pitkänen. Tammi 2015. [nF]."
"Tolvanen, Allan E(dvin)","Vuonna 2000",". Yksinäytöksinen huvinäytelmä.","
<b>Vuonna 2000</b>. Yksinäytöksinen huvinäytelmä. W.S.O.Y:N näytelmäsarja n:o 139. WSOY 1935. [SF]."
"Townsend, Jessica","Meinioseppä - Morriganin kutsumus",".. Riimit suomentanut Oona Kapari.","
<b>Meinioseppä - Morriganin kutsumus</b>. Nevermoor 2. (Wundersmith: The Calling of Morrigan Crow, 2018). Suom Jaana Kapari-Jatta. Riimit suomentanut Oona Kapari. Otava 2019. [nF]."
"Tsiolkovski, Konstantin E(duardovits)","Paino katosi",". Fantastinen kuvaus. Kirja","

<b>Paino katosi</b>. Fantastinen kuvaus. (Iz menenie otnositel 'noj tjazestina zemle, 1894). Valtion kustannusliike Kirja 1935."
"Tulimaa, Ilmari","Lumottu maa",". Kirja","
<b>Lumottu maa</b>. Kirja 1924. [nF]."
"Twain, Mark","Matkakirjeitä Maasta",". Valikoima Bernard DeVoton toimittamasta v.  ilmestyneestä kokoelmasta.  1963.","

<b>Matkakirjeitä Maasta</b>. (Letters from the Earth, 1962). Valikoima Bernard DeVoton toimittamasta v. 1962 ilmestyneestä kokoelmasta. Suom Kristiina Kivivuori. Weilin+Göös 1963. [F,kok 3/9,rajatap]."
"Lucas, George & Glut, Donald F(rank) & Kahn, James","Tähtien sota -trilogia",". Kokoomateos, sis teokset ""Tähtien sota. (, 1976)"", ""Imperiumin vastaisku (The Empire Strikes Back, 1980)"" ja ""Jedin paluu (Return of the Jedi, 1983)"".","
<b>Tähtien sota -trilogia</b>. (The Star Wars Trilogy, 1987). WSOY 1996. Kokoomateos, sis teokset ""Tähtien sota. (Star Wars, 1976)"", ""Imperiumin vastaisku (The Empire Strikes Back, 1980)"" ja ""Jedin paluu (Return of the Jedi, 1983)"".  Suom Risto Mäenpää & Risto Varteva & Ilkka Äärelä. [SF]"
"Dahl, Roald","Rakkaani, kyyhkyläiseni","Sis puolet novelleista kokoelmista (Kiss, Kiss, 1960) ja (Someone Like You, 1953).",
"Dahl, Roald","Joku kaltaisesi","Sis puolet novelleista kokoelmista (Kiss, Kiss, 1960) ja (Someone Like You, 1953).",
"Dahl, Roald","Nahka ja muita novelleja","Sis puolet novelleista kokoelmista (Kiss, Kiss, 1960) ja (Someone Like You, 1953). ",
